ID,count,name,namespacename,namespaceid,rank,matchCount,chatgpt_name,name_match_?,chatgpt_taxon_id,taxon_id_match_?,chatgpt_taxon_id_species_name,ncbi_species_name,ncbi_species_name_match_?,ncbi_taxon_id,ncbi_taxon_id_match_?
25261,1,abelmoschus esculentus,Abelmoschus esculentus,455045,species,1,Abelmoschus esculentus,Yes,94334,No,,Abelmoschus esculentus,Yes,455045,Yes
25264,1,codium latum,Codium latum,221047,species,1,Codium latum,Yes,91569,No,,Codium latum,Yes,221047,Yes
25275,1,tivela mactroides,Tivela mactroides,345374,species,1,No Match Found,No,,No,No Match Found,,No,,No
25279,1,aesculus indica,Aesculus indica,531823,species,1,Aesculus indica,Yes,398268,No,,Aesculus indica,Yes,531823,Yes
25283,1,lipomyces starkeyi,Lipomyces starkeyi,29829,species,1,Lipomyces starkeyi,Yes,29093,No,,Lipomyces starkeyi,Yes,29829,Yes
25292,1,mycobacterium haemophilum,Mycobacterium haemophilum,29311,species,1,Mycobacterium haemophilum,Yes,1708,No,,Mycobacterium haemophilum,Yes,29311,Yes
25294,1,trifolium pratense,Trifolium pratense,57577,species,1,Trifolium pratense,Yes,57577,Yes,,Trifolium pratense,Yes,57577,Yes
25298,1,verbascum songaricum,Verbascum songaricum,1685578,species,1,No Match Found,No,,No,No Match Found,,No,,No
25300,1,bupleurum fruticosum,Bupleurum fruticosum,48103,species,1,Bupleurum fruticosum,Yes,91534,No,,Bupleurum fruticosum,Yes,48103,Yes
25307,1,chironomus tentans,Chironomus tentans,7153,species,1,Glyptotendipes paripes,No,315576,No,Chironomus riparius,Glyptotendipes paripes,No,2715850,No
25310,1,laminaria digitata,Laminaria digitata,80365,species,1,Laminaria digitata,Yes,2966,No,,Laminaria digitata,Yes,80365,Yes
25315,1,staphylococcus aureus,Staphylococcus aureus,1280,species,1,Staphylococcus aureus,Yes,1280,Yes,,Staphylococcus aureus,Yes,1280,Yes
25322,1,verbascum nigrum,Verbascum nigrum,90364,species,1,Verbascum nigrum,Yes,256825,No,,Verbascum nigrum,Yes,90364,Yes
25327,1,ricinus communis,Ricinus communis,3988,species,1,Ricinus communis,Yes,3988,Yes,,Ricinus communis,Yes,3988,Yes
25333,1,trypanosoma brucei brucei,Trypanosoma brucei brucei,5702,subspecies,1,Trypanosoma brucei brucei,Yes,185431,No,,Trypanosoma brucei brucei,Yes,5702,Yes
25339,1,solanum anguivi,Solanum anguivi,329760,species,1,Solanum anguivi,Yes,410778,No,,Solanum anguivi,Yes,329760,Yes
25342,1,tubocapsicum,Tubocapsicum,180579,genus,1,No Match Found,No,,No,No Match Found,,No,,No
25352,1,crotalaria thebaica,Crotalaria thebaica,1978221,species,1,Crotalaria thebaica,Yes,297941,No,,Crotalaria thebaica,Yes,1978221,Yes
25354,1,lithospermum erythrorhizon,Lithospermum erythrorhizon,34254,species,1,Lithospermum erythrorhizon,Yes,148080,No,,Lithospermum erythrorhizon,Yes,34254,Yes
25357,1,hibiscus moscheutos,Muenchhusia moscheutos,241598,species,1,Hibiscus moscheutos,No,4076,No,,Muenchhusia moscheutos,Yes,241598,Yes
